id	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
165786		NZ	present	introduced		
165787	grape	NZ	present	introduced		
165788		NZ	present	introduced		
165789		NZ	present	introduced		
165790		NZ	present	introduced		
165791		NZ	present	introduced		
165792		NZ	present	introduced		
165793	watsonia	NZ	present	introduced		
165794		NZ	present	introduced		
165795	Spanish dagger yucca	NZ	present	introduced		
165796	arum lily	NZ	present	introduced		
165797	Manchurian wild rice	NZ	present	introduced		
165798		NZ	present	introduced		
